Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
Common,,,,,,,,,,,,,,,,,,,,
pds,Planetary Data System,Namespace for the PDS's common dictionary.,pds,http://pds.nasa.gov/pds4/pds/v1,pds,urn:nasa:pds:,PDS4_PDS,Common,0001_NASA_PDS_1,Planetary Data System,pds,PDS EN Node,Steve Hughes,Steve.Hughes at jpl.nasa.gov,CCB,2012-04-03,S. Hughes,Yes,Yes,
International,,,,,,,,,,,,,,,,,,,,
darts,DARTS (JAXA),Namespace for the DARTS (JAXA) dictionary.,darts,http://darts.isas.jaxa.jp/pds4/,darts,urn:jaxa:darts:,PDS4_DARTS,Discipline,0001_JAXA_DARTS_1,Data Archive and Transmission System,darts,DARTS (JAXA),Yukio Yamamoto,yamamoto.yukio at jaxa.jp, ,2017-03-17,S. Hughes,Yes,Yes,
isda,ISRO,Namespace for the ISRO dictionary.,isda,TBD,isda,urn:isro:isda,PDS4_ISDA,Discipline,0001_ISRO_ISDA_1,Indian Space Science Data Centre,isda,ISRO,B N Ramakrishna ,ramki at istrac.gov.in, ,2017-07-06,Ajay Kumar Prashar,Yes,Yes,
kpds,KARI Planetary Data System,Namespace for the for the Korea Aerospace Research Institute (KARI) - KARI Planetary Data System(KPDS),kpds,TBD (Under development. KPDS will be opened for web-service in early 2024.),kpds,urn:kari:kpds,PDS4_KPDS,Discipline,0001_KARI_KPDS_1,Korea Aerospace Research Institute (KARI),kpds,KARI,Joo Hyeon Kim (KPDS Manager),kl0630 at kari.re.kr, ,2021-08-18,Joo Hyeon Kim,,,
psa,ESA PSA,Namespace for ESA PSA's dictionary.,psa,http://psa.esa.int/psa/v1,psa,urn:psa:esa:,PDS4_PSA,Discipline,0001_ESA_PSA_1,Planetary Science Archive,psa,ESA PSA,Tanya Lim,tlim at sciops.esa.int, ,2015-09-30,S. Martinez,Yes,Yes,9/30/2015
rssa,RSSA (IKI),Namespace for the RSSA (IKI) dictionary.,rssa,TBD,rssa,urn:ros:rssa:,PDS4_RSSA,Discipline,0001_ROS_RSSA_1,Russian Space Agency,rssa,RSSA (IKI),Oleg Batanov ,obat at romance.iki.rssi.ru, ,2017-03-17,S. Hughes,Yes,Yes,
epn,VESPA EPN,Namespace for the VESPA EPN dictionary.,epn,https://voparis-ns.obspm.fr/pds4/epn/v1,epn,urn:vespa:epn,VESPA_EPN,Discipline,0001_VESPA_EPN_1,Virtual European Solar and Planetary Access,epn,VESPA,Baptiste Cecconi,baptiste.cecconi at observatoiredeparis.psl.eu, ,2020-10-28,S. Hughes,Yes,Yes,
Discipline,,,,,,,,,,,,,,,,,,,,
alt,Alternate,Namespace for the PPI Node's Alternate dictionary.,alt,http://pds.nasa.gov/pds4/alt/v1,alt,urn:nasa:pds:,PDS4_ALT,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2015-04-24,T. King,Yes,Yes,
atm,Atmosphere's Node,Namespace for the Atmospheres node's dictionary.,atm,http://pds.nasa.gov/pds4/atm/v1,atm,urn:nasa:pds:,PDS4_ATM,Discipline,0001_NASA_PDS_1,Atmospheres,atm,PDS ATM Node,Lyle Huber,lhuber at nmsu.edu, ,2012-04-03,S. Hughes,Yes,Yes,
